filename,valid_start,body_rises_early,front_knee_bad,rear_knee_bad,hip_position_bad,first_step_bad,arms_bad,split,label_confidence,review_required,comment_ru
real_048.mp4,1,0,1,0,1,0,0,train,medium,1,есть сомнение по высоте/стабильности таза; углы ног в стартовой позиции выглядят неидеально.
real_049.mp4,1,1,0,0,0,1,1,test,medium,1,есть признаки раннего подъёма корпуса; есть признаки неэффективного первого шага/overstride; работа рук требует внимания.
real_050.mp4,1,0,0,0,1,0,0,val,medium,1,есть сомнение по высоте/стабильности таза.
real_051.mp4,1,1,0,0,0,1,0,train,medium,1,есть признаки раннего подъёма корпуса; есть признаки неэффективного первого шага/overstride.
real_052.mp4,1,1,1,0,0,1,1,train,medium,1,есть признаки раннего подъёма корпуса; есть признаки неэффективного первого шага/overstride; работа рук требует внимания; углы ног в стартовой позиции выглядят неидеально.
real_062.mp4,1,1,0,0,0,1,1,train,medium,1,есть признаки раннего подъёма корпуса; есть признаки неэффективного первого шага/overstride; работа рук требует внимания.
real_063.mp4,1,1,1,0,0,1,1,test,medium,1,есть признаки раннего подъёма корпуса; есть признаки неэффективного первого шага/overstride; работа рук требует внимания; углы ног в стартовой позиции выглядят неидеально.
real_064.mp4,1,0,0,0,1,0,0,train,medium,1,есть сомнение по высоте/стабильности таза.
real_065.mp4,1,1,1,1,1,1,0,val,medium,1,есть признаки раннего подъёма корпуса; есть сомнение по высоте/стабильности таза; есть признаки неэффективного первого шага/overstride; углы ног в стартовой позиции выглядят неидеально.
real_067.mp4,1,1,0,0,1,1,1,train,medium,1,есть признаки раннего подъёма корпуса; есть сомнение по высоте/стабильности таза; есть признаки неэффективного первого шага/overstride; работа рук требует внимания.
real_068.mp4,1,0,1,0,0,1,0,train,medium,1,есть признаки неэффективного первого шага/overstride; углы ног в стартовой позиции выглядят неидеально.
real_069.mp4,1,0,0,0,1,0,0,train,medium,1,есть сомнение по высоте/стабильности таза.
real_070.mp4,1,1,1,0,0,1,1,test,medium,1,есть признаки раннего подъёма корпуса; есть признаки неэффективного первого шага/overstride; работа рук требует внимания; углы ног в стартовой позиции выглядят неидеально.
real_071.mp4,1,0,0,0,1,0,0,train,medium,1,есть сомнение по высоте/стабильности таза.
real_072.mp4,1,1,0,0,0,1,1,train,medium,1,есть признаки раннего подъёма корпуса; есть признаки неэффективного первого шага/overstride; работа рук требует внимания.
real_073.mp4,1,1,1,1,1,1,1,train,medium,1,есть признаки раннего подъёма корпуса; есть сомнение по высоте/стабильности таза; есть признаки неэффективного первого шага/overstride; работа рук требует внимания; углы ног в стартовой позиции выглядят неидеально.
real_074.mp4,1,1,1,0,0,1,1,train,medium,1,есть признаки раннего подъёма корпуса; есть признаки неэффективного первого шага/overstride; работа рук требует внимания; углы ног в стартовой позиции выглядят неидеально.
real_075.mp4,1,1,0,0,0,1,1,val,medium,1,есть признаки раннего подъёма корпуса; есть признаки неэффективного первого шага/overstride; работа рук требует внимания.
real_076.mp4,1,0,0,0,0,1,1,train,medium,1,есть признаки неэффективного первого шага/overstride; работа рук требует внимания.
real_077.mp4,1,1,0,0,0,1,0,test,medium,1,есть признаки раннего подъёма корпуса; есть признаки неэффективного первого шага/overstride.
real_078.mp4,1,0,0,0,1,0,0,train,medium,1,есть сомнение по высоте/стабильности таза.
real_083.mp4,1,0,0,0,1,0,0,train,medium,1,есть сомнение по высоте/стабильности таза.
real_084.mp4,1,0,1,1,1,0,0,test,medium,1,есть сомнение по высоте/стабильности таза; углы ног в стартовой позиции выглядят неидеально.
real_085.mp4,1,1,0,0,1,1,1,val,medium,1,есть признаки раннего подъёма корпуса; есть сомнение по высоте/стабильности таза; есть признаки неэффективного первого шага/overstride; работа рук требует внимания.
real_086.mp4,1,1,1,1,1,1,0,train,medium,1,есть признаки раннего подъёма корпуса; есть сомнение по высоте/стабильности таза; есть признаки неэффективного первого шага/overstride; углы ног в стартовой позиции выглядят неидеально.
real_087.mp4,1,0,0,0,1,0,0,train,medium,1,есть сомнение по высоте/стабильности таза.
real_088.mp4,1,1,1,0,0,1,1,train,medium,1,есть признаки раннего подъёма корпуса; есть признаки неэффективного первого шага/overstride; работа рук требует внимания; углы ног в стартовой позиции выглядят неидеально.
real_089.mp4,1,1,0,0,0,1,0,train,medium,1,есть признаки раннего подъёма корпуса; есть признаки неэффективного первого шага/overstride.
real_090.mp4,1,0,1,0,0,1,1,val,medium,1,есть признаки неэффективного первого шага/overstride; работа рук требует внимания; углы ног в стартовой позиции выглядят неидеально.
real_091.mp4,1,0,0,0,1,0,0,test,medium,1,есть сомнение по высоте/стабильности таза.
real_092.mp4,1,0,0,0,1,0,0,train,medium,1,есть сомнение по высоте/стабильности таза.
real_093.mp4,1,1,1,1,1,1,1,train,medium,1,есть признаки раннего подъёма корпуса; есть сомнение по высоте/стабильности таза; есть признаки неэффективного первого шага/overstride; работа рук требует внимания; углы ног в стартовой позиции выглядят неидеально.
real_094.mp4,1,0,1,1,1,0,0,train,medium,1,есть сомнение по высоте/стабильности таза; углы ног в стартовой позиции выглядят неидеально.
real_095.mp4,1,1,0,0,0,1,1,val,medium,1,есть признаки раннего подъёма корпуса; есть признаки неэффективного первого шага/overstride; работа рук требует внимания.
real_096.mp4,1,0,1,1,1,0,0,train,medium,1,есть сомнение по высоте/стабильности таза; углы ног в стартовой позиции выглядят неидеально.
real_097.mp4,1,1,1,0,1,1,1,train,medium,1,есть признаки раннего подъёма корпуса; есть сомнение по высоте/стабильности таза; есть признаки неэффективного первого шага/overstride; работа рук требует внимания; углы ног в стартовой позиции выглядят неидеально.
real_098.mp4,1,1,0,0,1,1,0,test,medium,1,есть признаки раннего подъёма корпуса; есть сомнение по высоте/стабильности таза; есть признаки неэффективного первого шага/overstride.
real_099.mp4,1,1,0,0,0,1,1,train,medium,1,есть признаки раннего подъёма корпуса; есть признаки неэффективного первого шага/overstride; работа рук требует внимания.
real_100.mp4,1,1,0,0,1,1,0,val,medium,1,есть признаки раннего подъёма корпуса; есть сомнение по высоте/стабильности таза; есть признаки неэффективного первого шага/overstride.
real_101.mp4,1,1,0,0,0,1,0,train,medium,1,есть признаки раннего подъёма корпуса; есть признаки неэффективного первого шага/overstride.
real_102.mp4,1,0,0,0,1,0,0,train,medium,1,есть сомнение по высоте/стабильности таза.
